t,v,h,a
279.0,11379.0,206.6,0.985
279.5,11395.0,207.8,1.012
280.0,11414.0,207.4,1.019
280.5,11431.0,207.8,1.016
281.0,11458.0,208.2,1.046
281.5,11478.0,208.7,1.053
,,,
,,,
,,,
283.5,11544.0,210.3,1.051
284.0,11564.0,210.8,1.063
284.5,11579.0,211.1,1.051
285.0,11682.0,211.6,1.338
285.5,11619.0,212.8,1.067
286.0,11638.0,212.4,0.776
286.5,11659.0,212.9,1.082
287.0,11678.0,213.3,1.078
287.5,11696.0,213.7,1.089
288.0,11718.0,214.1,1.093
288.5,11734.0,214.5,1.093
289.0,11756.0,214.9,1.104
289.5,11774.0,215.3,1.108
290.0,11795.0,215.7,1.085
290.5,11814.0,216.1,1.082
291.0,11834.0,216.5,1.095
291.5,11853.0,216.9,1.091
292.0,11872.0,217.3,1.106
292.5,11892.0,217.7,0.793
293.0,11913.0,218.2,1.11
293.5,11932.0,218.6,1.11
294.0,11954.0,219.8,1.114
294.5,11974.0,219.4,1.118
295.0,11993.0,219.8,1.121
,,,
296.0,12033.0,220.6,1.114
296.5,12053.0,221.8,1.129
297.0,12076.0,221.4,1.133
297.5,12093.0,221.8,1.129
298.0,12115.0,222.2,1.133
298.5,12137.0,222.6,1.144
299.0,12158.0,223.8,1.148
299.5,12178.0,223.4,1.152
300.0,12197.0,223.8,1.152
300.5,12217.0,224.1,1.152
301.0,12248.0,224.6,1.189
301.5,12268.0,224.9,1.193
302.0,12283.0,225.4,1.167
302.5,12381.0,225.7,1.461
303.0,12321.0,226.1,1.163
303.5,12344.0,226.5,1.174
304.0,12364.0,226.9,1.174
304.5,12386.0,227.3,1.17
305.0,12418.0,227.7,1.227
305.5,12428.0,228.8,1.182
306.0,12452.0,228.5,1.189
306.5,12472.0,228.8,1.185
307.0,12495.0,229.2,1.197
307.5,12514.0,229.6,1.197
308.0,12536.0,230.8,1.204
308.5,12557.0,230.4,1.167
309.0,12582.0,230.8,1.185
309.5,12682.0,231.1,1.506
310.0,12626.0,231.5,0.925
310.5,12646.0,231.9,1.227
311.0,12669.0,232.3,1.227
311.5,12698.0,232.7,1.261
312.0,12712.0,233.8,1.231
312.5,12734.0,233.4,1.193
313.0,12759.0,233.8,1.25
313.5,12779.0,234.2,1.235
314.0,12883.0,234.6,1.552
314.5,12825.0,234.9,1.246
315.0,12846.0,235.3,1.253
315.5,12869.0,235.7,1.257
316.0,12894.0,236.1,1.272
316.5,12913.0,236.4,1.25
317.0,12938.0,236.8,0.967
317.5,12959.0,237.1,1.257
318.0,12986.0,237.6,1.284
318.5,13087.0,237.9,1.578
319.0,13029.0,238.3,1.25
319.5,13052.0,238.6,1.284
320.0,13076.0,239.8,1.291
320.5,13098.0,239.3,1.28
321.0,13122.0,239.7,1.295
321.5,13144.0,240.1,0.985
,,,
322.5,13191.0,240.8,1.293
323.0,13215.0,241.2,1.304
323.5,13238.0,241.5,1.304
324.0,13263.0,241.9,1.304
,,,
325.0,13313.0,242.7,1.327
325.5,13336.0,243.8,1.32
326.0,13357.0,243.3,1.32
326.5,13382.0,243.7,1.312
327.0,13408.0,244.1,1.029
327.5,13438.0,244.4,1.361
328.0,13456.0,244.8,1.342
328.5,13477.0,245.1,1.331
329.0,13586.0,245.5,1.659
329.5,13528.0,245.9,1.35
,,,
,,,
331.0,13681.0,246.9,1.459
331.5,13624.0,247.2,1.155
332.0,13652.0,247.6,1.17
332.5,13676.0,248.8,1.174
333.0,13781.0,248.3,1.476
333.5,13726.0,248.7,1.174
334.0,13749.0,249.8,1.174
334.5,13777.0,249.4,1.201
335.0,13881.0,249.7,1.499
,,,
336.0,13855.0,250.4,1.352
,,,
337.0,13983.0,251.1,1.48
337.5,13928.0,251.4,1.204
338.0,13955.0,251.8,1.227
338.5,13975.0,252.1,0.891
339.0,14085.0,252.5,1.525
339.5,14025.0,252.8,1.106
340.0,14051.0,253.1,1.42
340.5,14075.0,253.5,1.404
341.0,14099.0,253.8,1.404
341.5,14121.0,254.1,1.091
342.0,14146.0,254.5,1.393
342.5,14168.0,254.8,1.389
343.0,14198.0,255.2,1.397
343.5,14218.0,255.5,1.08
344.0,14234.0,255.8,1.189
344.5,14256.0,256.2,1.031
345.0,14278.0,256.5,1.321
345.5,14298.0,256.8,1.295
346.0,14322.0,257.2,1.31
346.5,14342.0,257.5,0.97
347.0,14365.0,257.8,1.284
347.5,14382.0,258.1,1.25
348.0,14406.0,258.5,1.25
348.5,14426.0,258.8,1.235
349.0,14448.0,259.1,1.235
349.5,14471.0,259.4,1.227
350.0,14494.0,259.8,1.231
,,,
351.0,14548.0,260.4,1.219
,,,
352.0,14586.0,261.1,1.216
352.5,14685.0,261.3,1.529
353.0,14628.0,261.7,1.231
353.5,14658.0,262.8,1.261
354.0,14676.0,262.3,1.253
354.5,14695.0,262.6,1.235
355.0,14722.0,263.8,1.261
355.5,14741.0,263.2,1.246
356.0,14765.0,263.6,1.272
356.5,14787.0,263.9,1.265
357.0,14814.0,264.2,1.291
357.5,14834.0,264.5,1.284
358.0,14857.0,264.8,1.284
358.5,14888.0,265.1,1.314
359.0,14986.0,265.5,1.582
359.5,14924.0,265.7,1.276
360.0,14958.0,266.8,1.031
360.5,14974.0,266.4,1.306
361.0,14997.0,266.7,1.28
361.5,15022.0,267.8,1.306
362.0,15044.0,267.3,1.318
362.5,15067.0,267.6,1.303
363.0,15098.0,267.9,1.348
363.5,15113.0,268.2,1.314
364.0,15137.0,268.5,1.321
364.5,15162.0,268.8,1.314
365.0,15188.0,269.1,1.337
365.5,15287.0,269.3,1.623
366.0,15232.0,269.6,1.299
366.5,15256.0,269.9,1.019
,,,
,,,
368.0,15338.0,278.9,1.357
,,,
369.0,15377.0,271.4,1.302
369.5,15408.0,271.7,1.359
370.0,15425.0,272.8,1.336
370.5,15448.0,272.3,1.328
371.0,15473.0,272.6,1.34
371.5,15496.0,272.8,1.34
372.0,15523.0,273.2,1.325
372.5,15545.0,273.4,1.351
373.0,15572.0,273.7,1.362
373.5,15596.0,274.8,1.359
374.0,15628.0,274.3,1.381
374.5,15643.0,274.5,1.064
375.0,15669.0,274.9,1.37
375.5,15698.0,275.1,1.389
376.0,15715.0,275.4,1.35
376.5,15741.0,275.7,1.374
377.0,15767.0,276.8,1.355
377.5,15798.0,276.2,1.408
378.0,15819.0,276.5,1.401
378.5,15843.0,276.8,1.397
379.0,15867.0,277.1,1.401
379.5,15898.0,277.3,1.416
380.0,15916.0,277.6,1.401
380.5,15938.0,277.8,1.382
